,GRID_CODE,NLCD,B18,B25,B30,B35,B40,B45,B53,B58,B66,B73,B81,B100,B123,B137,B145,B164,B174,B181,B187,B227,B233,B241,B247,B254,B261,B270,B331,B345,B356,B367,B380,B389
16,8834,SS,0.0197,0.021,0.0378,0.0566,0.0472,0.0391,0.0319,0.0239,0.0952,0.3082,0.3829,0.4303,0.4447,0.4938,0.4634,0.3976,0.4394,0.446,0.4035,0.1404,0.1762,0.2052,0.2332,0.242,0.244,0.2173,0.0634,0.0855,0.0995,0.1096,0.086,0.0718
17,2306,SS,0.0184,0.0201,0.0318,0.0473,0.0389,0.0322,0.0263,0.0209,0.0717,0.2817,0.3653,0.3977,0.3893,0.4303,0.4055,0.3282,0.3576,0.3617,0.3264,0.0968,0.125,0.1485,0.1706,0.1788,0.1821,0.1587,0.0398,0.0577,0.0704,0.0792,0.0616,0.0509
18,642,SS,0.0214,0.0225,0.0413,0.0645,0.0522,0.0409,0.0319,0.0238,0.1019,0.408,0.5158,0.5601,0.5557,0.61,0.5725,0.4808,0.5283,0.5335,0.477,0.1472,0.1915,0.2299,0.263,0.2745,0.2774,0.2423,0.0579,0.0867,0.103,0.1158,0.0901,0.0725
19,21122,SS,0.0333,0.0363,0.0572,0.0811,0.067,0.0557,0.047,0.038,0.1258,0.5533,0.732,0.7907,0.773,0.8499,0.7935,0.6537,0.724,0.7305,0.6495,0.2075,0.2662,0.3156,0.3636,0.381,0.384,0.3384,0.0958,0.1324,0.1564,0.1716,0.1367,0.1136
20,9858,SS,0.011,0.0107,0.0212,0.0329,0.0245,0.0189,0.0141,0.0092,0.0533,0.293,0.4006,0.4436,0.4263,0.4765,0.4496,0.3446,0.3765,0.381,0.3349,0.0772,0.1029,0.1251,0.1455,0.1528,0.1564,0.1355,0.0258,0.0394,0.0482,0.0559,0.0438,0.0343
21,22146,SS,0.0238,0.0248,0.0392,0.0546,0.0448,0.0362,0.0301,0.0246,0.0752,0.3845,0.5347,0.578,0.5547,0.6095,0.5729,0.4553,0.5009,0.5075,0.4489,0.1251,0.1639,0.1975,0.2286,0.24,0.2441,0.209,0.0497,0.0745,0.0868,0.0973,0.0749,0.0598
22,38530,SS,0.0082,0.0076,0.0139,0.0208,0.0172,0.0119,0.0092,0.0063,0.0313,0.1448,0.1988,0.2288,0.2298,0.2627,0.2495,0.1955,0.2179,0.222,0.1961,0.0574,0.076,0.0891,0.1027,0.1085,0.1096,0.0987,0.0247,0.038,0.0451,0.0509,0.0416,0.0325
23,5762,SS,0.0156,0.0155,0.0222,0.0321,0.0258,0.0208,0.0163,0.0126,0.0443,0.2366,0.3254,0.3606,0.3429,0.3824,0.3596,0.2774,0.3071,0.3102,0.2738,0.0654,0.0877,0.1078,0.1264,0.1341,0.1366,0.1195,0.0251,0.0388,0.0463,0.0533,0.0414,0.0341
24,24194,SS,0.0169,0.0169,0.0304,0.0485,0.0368,0.0288,0.0208,0.015,0.0783,0.3899,0.52,0.5775,0.5671,0.6237,0.5874,0.4789,0.5221,0.5249,0.4695,0.1327,0.1749,0.2084,0.2403,0.2494,0.2537,0.2252,0.0481,0.0749,0.0887,0.1014,0.0822,0.0652
25,1666,SS,0.0068,0.0048,0.0068,0.0109,0.0073,0.0052,0.0036,0.0031,0.0152,0.1196,0.1781,0.2079,0.2086,0.245,0.2304,0.177,0.2009,0.207,0.1813,0.0383,0.051,0.0657,0.0791,0.0846,0.0855,0.0737,0.0147,0.0232,0.0275,0.0326,0.0253,0.0197
